Data,Dalle,Alle,Dove,Descrizione
02/12/2016,09.30,12.30,Piazza Conciliazione,Piazza Conciliazione (in caso di maltempo al Centro Sportivo) h 9.30/12.30 Giornata internazionale dei diritti della persona con disabilità
02/12/2016,21.00,,Villa Tittoni,Villa Tittoni h 21 Saveurs et danses de la Tunisie Un viaggio attraverso i sapori e la musica. - a cura di Teatrando Ingresso libero - info@teatrando.net - tel. 338636315
02/12/2016,21.00,,Chiesa San Pio X,Chiesa San Pio X - via Garibaldi h 21 Oh Happy Day - Concerto del Coro Sing a Song
03/12/2016,14.00,17.00,Piazza Conciliazione,Piazza Conciliazione h 14/17 Giochi e sport dal Mondo a cura delle Associazioni sportive
03/12/2016,10.00,18.00,Piazza Conciliazione,Piazza Conciliazione h 10/18 Mercatino del libro usato a cura del Forum bimbi di Chernobyl
03/12/2016,10.00,,Biblioteca civica,Biblioteca civica - sez. ragazzi h 10 A testa in giù! Per l’arte non è mai troppo presto. Ma-Pa Mondo - Laboratorio per bambini Info e prenotazioni: tel. 0362 392317
03/12/2016,16.30,,Bar Caffè del Centro,Bar Caffè del Centro - via Conciliazione 15 h 16.30 Inaugurazione della mostra di pittura La nascita: una finestra sul mondo a cura dell’associazione Dipingere Insieme
03/12/2016,17.15,,Biblioteca civica,"Biblioteca civica - Sala SoStare h 17.15 Presentazione del libro di Rinaldo Rech 'DESIO la sua storia, la nostra storia - IL LIBRO'"
03/12/2016,18.00,,Villa Tittoni,Villa Tittoni h 18 Inaugurazione della personale di Giorgio Basfi L’uomo e il colore a cura dell’associazione Amici Museo Scalvini
03/12/2016,21.00,,Villa Tittoni,Villa Tittoni Dalle h 21 C Night dal suono primordiale all’elettronica Ingresso € 5 - Info: www.parcodelleculture.it
03/12/2016,21.00,,Chiesa Santuario del Crocifisso,Chiesa Santuario del Crocifisso - via Lampugnani h 21 È nato Concerto - Coro Santuario del Crocifisso
04/12/2016,10.00,,Bar Caffè del Centro,Bar Caffè del Centro - via Conciliazione 15 h 10 mostra di pittura La nascita: una finestra sul mondo a cura dell’associazione Dipingere Insieme
04/12/2016,14.00,17.00,Piazza Conciliazione,Piazza Conciliazione h 14/17 Giochi e sport dal Mondo a cura delle Associazioni sportive
